Version,Bundling/Dropping Time (ms),Energy (J)
anguloDropping,10,32.3470607492
anguloDropping,10,31.9124763988
anguloDropping,10,32.4031254848
anguloDropping,10,32.2232785416
anguloDropping,10,32.0408746628
anguloDropping,10,32.0233156784
anguloDropping,10,32.061676773
anguloDropping,10,32.2805666532
anguloDropping,10,32.2339125348
anguloDropping,10,32.208874593
anguloBundling,10,32.0403974046
anguloBundling,10,32.170188821
anguloBundling,10,32.216019873
anguloBundling,10,32.1951979972
anguloBundling,10,32.7823690582
anguloBundling,10,32.127324917
anguloBundling,10,32.0550480648
anguloBundling,10,32.1034414894
anguloBundling,10,32.1272776586
anguloBundling,10,31.9556027876
anguloOriginal,10,31.5780437794
anguloOriginal,10,31.5500754712
anguloOriginal,10,31.7014410426
anguloOriginal,10,31.4435972576
anguloOriginal,10,31.4474623138
anguloOriginal,10,30.9926079018
anguloOriginal,10,31.6108811326
anguloOriginal,10,31.6424242832
anguloOriginal,10,31.4229738896
anguloOriginal,10,31.76783268
anguloDropping,30,31.5624568368
anguloDropping,30,31.2701409898
anguloDropping,30,31.5834944384
anguloDropping,30,31.4720012278
anguloDropping,30,31.5828100784
anguloDropping,30,31.4841063256
anguloDropping,30,31.3801383016
anguloDropping,30,31.5682430804
anguloDropping,30,31.5673557056
anguloDropping,30,31.5740983762
anguloBundling,30,31.7288889842
anguloBundling,30,31.590846805
anguloBundling,30,31.6812518956
anguloBundling,30,31.761273308
anguloBundling,30,31.8452436668
anguloBundling,30,31.7011285988
anguloBundling,30,31.6544081198
anguloBundling,30,31.3634734124
anguloBundling,30,31.647379263
anguloBundling,30,31.7973905828
anguloOriginal,30,31.5780437794
anguloOriginal,30,31.5500754712
anguloOriginal,30,31.7014410426
anguloOriginal,30,31.4435972576
anguloOriginal,30,31.4474623138
anguloOriginal,30,30.9926079018
anguloOriginal,30,31.6108811326
anguloOriginal,30,31.6424242832
anguloOriginal,30,31.4229738896
anguloOriginal,30,31.76783268
anguloDropping,100,29.0561767824
anguloDropping,100,28.7040343292
anguloDropping,100,28.6317461564
anguloDropping,100,28.9761317242
anguloDropping,100,28.7248812726
anguloDropping,100,28.8792744392
anguloDropping,100,28.6594286592
anguloDropping,100,28.7724329726
anguloDropping,100,28.7499121226
anguloDropping,100,28.9268185606
anguloBundling,100,28.931991057
anguloBundling,100,28.805013688
anguloBundling,100,29.0882512884
anguloBundling,100,29.0166590042
anguloBundling,100,28.9773735158
anguloBundling,100,29.010566792
anguloBundling,100,29.1190720966
anguloBundling,100,28.8320227826
anguloBundling,100,29.0707849158
anguloBundling,100,28.9250534674
anguloOriginal,100,31.5780437794
anguloOriginal,100,31.5500754712
anguloOriginal,100,31.7014410426
anguloOriginal,100,31.4435972576
anguloOriginal,100,31.4474623138
anguloOriginal,100,30.9926079018
anguloOriginal,100,31.6108811326
anguloOriginal,100,31.6424242832
anguloOriginal,100,31.4229738896
anguloOriginal,100,31.76783268
anguloBundling,200,25.7062273778
anguloBundling,200,25.6523707818
anguloBundling,200,25.5249129056
anguloBundling,200,25.6213995928
anguloBundling,200,25.6390174698
anguloBundling,200,25.6874938838
