Version,Bundling/Dropping Time (ms),Energy (J)
acrylicPaintOriginal,1000,9.7116462556
acrylicPaintOriginal,1000,9.8470976522
acrylicPaintOriginal,1000,9.7333717506
acrylicPaintOriginal,1000,9.7656423738
acrylicPaintOriginal,1000,9.70591749
acrylicPaintOriginal,1000,7.8378028834
acrylicPaintOriginal,1000,9.9080125494
acrylicPaintOriginal,1000,8.3043441704
acrylicPaintOriginal,1000,9.7794990358
acrylicPaintDropping,1000,7.6846283146
acrylicPaintDropping,1000,7.437853032
acrylicPaintDropping,1000,7.4854157016
acrylicPaintDropping,1000,7.5002306584
acrylicPaintDropping,1000,7.5281163188
acrylicPaintDropping,1000,7.5018397632
acrylicPaintDropping,1000,7.6782608516
acrylicPaintDropping,1000,5.4053686346
acrylicPaintDropping,1000,7.54460834
acrylicPaintDropping,1000,7.8490630258
acrylicPaintBundling,2000,7.332046622
acrylicPaintBundling,2000,7.536401783
acrylicPaintBundling,2000,7.5319784302
acrylicPaintBundling,2000,7.8444243904
acrylicPaintBundling,2000,7.4698808088
acrylicPaintBundling,2000,7.5120399646
acrylicPaintBundling,2000,7.4622508536
acrylicPaintBundling,2000,7.4731282428
acrylicPaintBundling,2000,8.158612413
acrylicPaintBundling,2000,7.8115650052
acrylicPaintOriginal,2000,9.0023592704
acrylicPaintOriginal,2000,9.7116462556
acrylicPaintOriginal,2000,9.8470976522
acrylicPaintOriginal,2000,9.7333717506
acrylicPaintOriginal,2000,9.7656423738
acrylicPaintOriginal,2000,9.70591749
acrylicPaintOriginal,2000,7.8378028834
acrylicPaintOriginal,2000,9.9080125494
acrylicPaintOriginal,2000,8.3043441704
acrylicPaintOriginal,2000,9.7794990358
acrylicPaintDropping,2000,5.3426688504
acrylicPaintDropping,2000,7.5692686502
acrylicPaintDropping,2000,7.4512106322
acrylicPaintDropping,2000,7.4218335712
acrylicPaintDropping,2000,7.8881669108
acrylicPaintDropping,2000,7.4884816224
acrylicPaintDropping,2000,7.682683818
acrylicPaintDropping,2000,5.2597751804
acrylicPaintDropping,2000,7.5442055434
acrylicPaintDropping,2000,7.5212998814
acrylicPaintBundling-GM2,10,6.6296640138
acrylicPaintBundling-GM2,10,6.4602332556
acrylicPaintBundling-GM2,10,6.6531574322
acrylicPaintBundling-GM2,10,6.923776655
acrylicPaintBundling-GM2,10,6.6875647567
acrylicPaintBundling-GM2,10,6.9043282737
acrylicPaintBundling-GM2,10,6.6565011028
acrylicPaintBundling-GM2,10,6.565942981
acrylicPaintBundling-GM2,10,6.701967585
acrylicPaintBundling-GM2,10,6.6414450832
acrylicPaintBundling-GM2,10,6.7211904628
acrylicPaintBundling-GM2,10,6.6957533687
acrylicPaintBundling-GM2,10,6.8058016712
acrylicPaintBundling-GM2,10,6.5905176955
acrylicPaintBundling-GM2,10,6.7990148306
acrylicPaintBundling-GM2,10,6.7172365799
acrylicPaintBundling-GM2,10,6.7290959009
acrylicPaintBundling-GM2,10,6.8445558596
acrylicPaintBundling-GM2,10,6.8234833926
acrylicPaintBundling-GM2,10,6.5476897733
