Version,Bundling/Dropping Time (ms),Number of Context Switches
acrylicPaintBundling,100,41718
acrylicPaintBundling,100,42135
acrylicPaintBundling,100,43156
acrylicPaintBundling,100,42074
acrylicPaintBundling,100,42192
acrylicPaintDropping,2000,34315
acrylicPaintDropping,2000,34255
acrylicPaintDropping,2000,33571
acrylicPaintDropping,2000,35717
acrylicPaintDropping,2000,35030
acrylicPaintDropping,2000,34506
acrylicPaintDropping,2000,35056
acrylicPaintDropping,2000,34342
acrylicPaintDropping,2000,45080
acrylicPaintDropping,2000,37198
acrylicPaintDropping,2000,36361
acrylicPaintBundling,500,37710
acrylicPaintBundling,500,37421
acrylicPaintBundling,500,46874
acrylicPaintBundling,500,36597
acrylicPaintBundling,500,38718
acrylicPaintBundling,500,36886
acrylicPaintBundling,500,39874
acrylicPaintBundling,500,37045
acrylicPaintBundling,500,39671
acrylicPaintBundling,500,37522
acrylicPaintBundling,500,36613
