Version,Bundling/Dropping Time (ms),Number of CPU Jiffies
acrylicPaintDropping,2000,165
acrylicPaintDropping,2000,238
acrylicPaintDropping,2000,159
acrylicPaintDropping,2000,170
acrylicPaintBundling,500,180
acrylicPaintBundling,500,181
acrylicPaintBundling,500,246
acrylicPaintBundling,500,179
acrylicPaintBundling,500,176
acrylicPaintBundling,500,175
acrylicPaintBundling,500,174
acrylicPaintBundling,500,181
acrylicPaintBundling,500,183
acrylicPaintBundling,500,178
acrylicPaintBundling,500,178
