Version,Bundling/Dropping Time (ms),Energy (J)
sensorDropping,10,69.4632491464
sensorDropping,10,65.7662531686
sensorDropping,10,67.7163527732
sensorDropping,10,66.7926746316
sensorDropping,10,69.4493396862
sensorDropping,10,65.1126842966
sensorDropping,10,69.3015120262
sensorDropping,10,69.4674595332
sensorBundling,10,66.961780822
sensorBundling,10,70.4410258984
sensorBundling,10,65.2942350148
sensorBundling,10,66.577756053
sensorBundling,10,69.2518348168
sensorBundling,10,66.6723296534
sensorBundling,10,69.033657677
sensorBundling,10,67.3793885304
sensorBundling,10,68.5723978514
sensorOriginal,10,68.0802375236
sensorOriginal,10,68.4696044226
sensorOriginal,10,70.2544103222
sensorOriginal,10,69.1356391162
sensorOriginal,10,68.9744824986
sensorOriginal,10,68.3082338012
sensorOriginal,10,67.2979271742
sensorOriginal,10,67.5292130534
sensorOriginal,10,68.1711186108
sensorOriginal,10,69.377746098
sensorDropping,30,67.4120881662
sensorDropping,30,65.158656745
sensorDropping,30,69.0222876208
sensorDropping,30,68.0103173064
sensorDropping,30,69.1068480588
sensorDropping,30,70.280457354
sensorDropping,30,64.8290669614
sensorDropping,30,66.429587185
sensorDropping,30,68.832366677
sensorDropping,30,69.6935387774
sensorBundling,30,68.904200144
sensorBundling,30,68.6778591358
sensorBundling,30,69.9066757404
sensorBundling,30,68.4306868258
sensorBundling,30,69.0757641802
sensorBundling,30,68.992536263
sensorBundling,30,67.3959436694
sensorBundling,30,68.7731195116
sensorBundling,30,70.7193429296
sensorBundling,30,68.1890560844
sensorOriginal,30,68.0802375236
sensorOriginal,30,68.4696044226
sensorOriginal,30,70.2544103222
sensorOriginal,30,69.1356391162
sensorOriginal,30,68.9744824986
sensorOriginal,30,68.3082338012
sensorOriginal,30,67.2979271742
sensorOriginal,30,67.5292130534
sensorOriginal,30,68.1711186108
sensorOriginal,30,69.377746098
sensorDropping,100,66.9770326966
sensorDropping,100,66.451607812
sensorDropping,100,64.4074292074
sensorDropping,100,69.6072138114
sensorDropping,100,68.5671211628
sensorDropping,100,69.4306027424
sensorDropping,100,70.7119136064
sensorDropping,100,68.9701500562
sensorDropping,100,70.378102737
sensorDropping,100,69.0807393994
sensorBundling,100,66.163305693
sensorBundling,100,68.5364880606
sensorBundling,100,69.9565190194
sensorBundling,100,65.1833043832
sensorBundling,100,68.218125656
sensorBundling,100,69.8883812814
sensorBundling,100,67.3041614308
sensorBundling,100,68.8747914754
sensorBundling,100,67.9391148914
sensorBundling,100,68.0507820992
sensorOriginal,100,68.0802375236
sensorOriginal,100,68.4696044226
sensorOriginal,100,70.2544103222
sensorOriginal,100,69.1356391162
sensorOriginal,100,68.9744824986
sensorOriginal,100,68.3082338012
sensorOriginal,100,67.2979271742
