Version,Bundling/Dropping Time (ms),Energy (J)
colorPickerOriginal,30,63.5087100016
colorPickerOriginal,30,66.0145499704
colorPickerOriginal,30,65.0787746944
colorPickerOriginal,30,66.831426952
colorPickerOriginal,30,67.7012956958
colorPickerOriginal,30,66.1242811
colorPickerOriginal,30,65.5983433474
colorPickerOriginal,30,66.2506375284
colorPickerOriginal,30,66.3851869644
colorPickerOriginal,30,65.9303235366
colorPickerOriginal,30,65.0702508968
colorPickerOriginal,30,66.4984527236
colorPickerOriginal,30,66.334721365
colorPickerOriginal,30,65.5612081554
colorPickerOriginal,30,67.2660914624
colorPickerOriginal,30,65.244684948
colorPickerOriginal,30,65.6694707102
colorPickerOriginal,30,65.679038024
colorPickerOriginal,30,65.7005928156
colorPickerOriginal,30,64.3564197412
colorPickerOriginal,30,65.4611244832
colorPickerOriginal,30,65.0078338166
colorPickerOriginal,30,65.9823022356
colorPickerOriginal,30,67.6086987064
colorPickerOriginal,30,65.8662159282
colorPickerBundling,30,65.9715352046
colorPickerBundling,30,66.6131059054
colorPickerBundling,30,68.1968990412
colorPickerBundling,30,66.3286710898
colorPickerBundling,30,65.9608384818
colorPickerBundling,30,66.91381071
colorPickerBundling,30,66.3283510442
colorPickerBundling,30,66.3689542732
colorPickerBundling,30,67.2522679984
colorPickerBundling,30,68.2738817498
colorPickerBundling,30,65.6420437792
colorPickerBundling,30,65.5259558262
colorPickerBundling,30,66.5604006946
colorPickerBundling,30,65.2203679228
colorPickerBundling,30,69.5082540816
colorPickerBundling,30,66.2023876768
colorPickerBundling,30,67.004821921
colorPickerBundling,30,66.4277337458
colorPickerBundling,30,66.0129020582
colorPickerBundling,30,66.0213877026
colorPickerBundling,30,65.0793611884
colorPickerBundling,30,65.889282889
colorPickerBundling,30,66.284818849
colorPickerBundling,30,65.616758913
colorPickerBundling,30,65.0576933574
colorPickerBundling,30,66.375779402
colorPickerBundling,30,65.5460257586
colorPickerBundling,30,66.273541388
colorPickerBundling,30,66.9960947238
colorPickerBundling,30,66.6706744594
colorPickerBundling,30,66.5931431176
colorPickerBundling,30,66.3162327386
colorPickerBundling,30,66.1209283446
colorPickerBundling,30,65.9940762402
colorPickerBundling,30,66.5034163922
colorPickerBundling,30,66.336874657
colorPickerBundling,30,66.743748763
colorPickerBundling,30,66.9690793458
colorPickerBundling,30,65.9342520378
colorPickerBundling,100,65.0946214792
colorPickerBundling,100,65.9035213814
colorPickerBundling,100,65.7016183756
colorPickerBundling,100,63.48840592
colorPickerBundling,100,65.8941456366
colorPickerBundling,100,65.9172929264
colorPickerBundling,100,66.0587800636
colorPickerBundling,100,66.282790717
colorPickerBundling,100,65.9183484064
colorPickerBundling,100,65.9936468964
colorPickerBundling,100,65.2459255132
